system:index,count,theft_risk,.geo
+421789+149778,3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77993101854058,26.90960326881354]}"
+421789+149822,5,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77991904100345,26.917424600553943]}"
+421789+149884,5,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.779775310558,26.928635575299754]}"
+421790+149615,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.780170569283,26.880378078236852]}"
+421790+149712,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.780170569283,26.89771556322036]}"
+421791+149739,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78035023233983,26.902656297283016]}"
+421793+149662,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78070955845348,26.888822241907576]}"
+421793+149743,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78070955845348,26.903285117981902]}"
+421794+149675,4,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.7808443057461,26.890978198589465]}"
+421794+149706,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78088922151031,26.896637584879418]}"
+421795+149726,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78106888456712,26.900230846015894]}"
+421795+149860,10,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78112278348416,26.924054167350747]}"
+421796+149714,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78124854762395,26.898164720862418]}"
+421796+149873,19,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78142821068077,26.9262961731809]}"
+421797+149750,4,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78129346338815,26.904497843615463]}"
+421798+149616,3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.7816078737376,26.880378078236852]}"
+421799+149658,35,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78162840665837,26.887641598962734]}"
+421799+149891,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78178753679443,26.92996508192025]}"
+421800+149865,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78196719985124,26.92529384244283]}"
+421801+149724,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78214686290806,26.89987151990225]}"
+421803+149648,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78250618902172,26.88630695911204]}"
+421803+149676,10,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78239839118763,26.89096023228378]}"
+421803+149858,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78250618902172,26.924036201045062]}"
+421804+149644,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78268585207854,26.885588306884745]}"
+421804+149685,55,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.7820913306905,26.89230770520996]}"
+421804+149857,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78268585207854,26.92385653798824]}"
+421804+149873,10,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78234449227057,26.92640775339514]}"
+421805+149634,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78286551513537,26.88379167631651]}"
+421805+149762,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78286551513537,26.90678854758997]}"
+421806+149616,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78304517819218,26.880467909765265]}"
+421806+149677,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78295534666377,26.891517187759934]}"
+421806+149856,44,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.784233404318,26.92264789560597]}"
+421807+149888,134,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78229568827604,26.92813225058683]}"
+421808+149699,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78331467277742,26.89546977501006]}"
+421809+149647,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78358416736266,26.886127296055218]}"
+421811+149686,8,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78389857771211,26.892774829157702]}"
+421812+149690,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78412315653313,26.893852807498646]}"
+421812+149709,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78403332500471,26.8972664055783]}"
+421812+149782,12,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78368897081246,26.910142257984013]}"
+421813+149668,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78430281958995,26.88990022024852]}"
+421813+149811,3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78436270727556,26.915472262003124]}"
+421814+149873,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78448248264678,26.92673114689742]}"
+421815+149651,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.7846621457036,26.886845948282513]}"
+421815+149667,3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.7847220333892,26.889600781820484]}"
+421815+149690,8,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.7845723141752,26.89358331291341]}"
+421816+149680,13,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78486944923071,26.8916415698762]}"
+421816+149806,4,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78475197723202,26.914603890561807]}"
+421816+149817,9,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78464218314173,26.91645042753472]}"
+421817+149774,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78502147181725,26.908944504271854]}"
+421818+149630,5,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78527300009681,26.882785563198293]}"
+421818+149636,3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78508135950285,26.884091114744546]}"
+421818+149793,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78520113487407,26.912268270823095]}"
+421818+149888,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78520113487407,26.929336261221366]}"
+421819+149684,3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78520113487407,26.892774829157702]}"
+421819+149756,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.7853807979309,26.90562073772061]}"
+421820+149757,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78556046098772,26.905890232305847]}"
+421821+149685,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78574012404455,26.89295449221453]}"
+421821+149697,13,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78578158474997,26.89457145972594]}"
+421822+149663,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78591978710136,26.889001904964402]}"
+421822+149833,22,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78604228464012,26.918613643330012]}"
+421823+149616,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78609945015819,26.88055774129368]}"
+421823+149661,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78609945015819,26.888642578850753]}"
+421823+149688,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78609945015819,26.893403649856587]}"
+421823+149852,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78609945015819,26.922958222704118]}"
+421824+149693,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78627911321502,26.89439179666912]}"
+421824+149840,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78627911321502,26.920802266022232]}"
+421825+149639,3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78639888858623,26.884570216229413]}"
